County Name,Date of Death,New Deaths,7-day Average New Deaths,Total Deaths,2019 Population ,New Deaths Rate,7-day Average New Death Rate,Total Death Rate,County FIPS Code,Longitude,Latitude,Georeferenced Latitude & Longitude
Northumberland,12/23/2020,3,3.4,227,90843,3.3,3.77,249.88,42097,-76.71188423,40.85150926,POINT (-76.71188423 40.85150926)
Pennsylvania,05/04/2020,125,127.9,3965,12801989,0.98,1,30.97,42000,-75.167756,39.346129,POINT (-75.167756 39.346129)
Crawford,01/24/2021,3,1,126,84629,3.54,1.18,148.89,42039,-80.11321083,41.68546907,POINT (-80.11321083 41.68546907)
Cumberland,07/06/2020,0,0,64,253370,0,0,25.26,42041,-77.26866271,40.16759839,POINT (-77.26866271 40.16759839)
Crawford,02/13/2021,0,0.4,135,84629,0,0.51,159.52,42039,-80.11321083,41.68546907,POINT (-80.11321083 41.68546907)
Pennsylvania,12/12/2020,196,200,13744,12801989,1.53,1.56,107.36,42000,-75.167756,39.346129,POINT (-75.167756 39.346129)
Centre,03/04/2021,1,0.3,212,162385,0.62,0.18,130.55,42027,-77.82500112,40.9193135,POINT (-77.82500112 40.9193135)
York,08/14/2020,2,1.7,112,449058,0.45,0.38,24.94,42133,-76.72576052,39.92192531,POINT (-76.72576052 39.92192531)
Pennsylvania,07/01/2020,21,18.6,6950,12801989,0.16,0.15,54.29,42000,-75.167756,39.346129,POINT (-75.167756 39.346129)
Beaver,02/24/2021,2,1,348,163929,1.22,0.61,212.29,42007,-80.35107356,40.68349245,POINT (-80.35107356 40.68349245)
Pennsylvania,09/19/2020,10,12,8140,12801989,0.08,0.09,63.58,42000,-75.167756,39.346129,POINT (-75.167756 39.346129)
Beaver,04/14/2021,2,0.6,367,163929,1.22,0.35,223.88,42007,-80.35107356,40.68349245,POINT (-80.35107356 40.68349245)
Cumberland,11/27/2020,4,4.3,152,253370,1.58,1.69,59.99,42041,-77.26866271,40.16759839,POINT (-77.26866271 40.16759839)
Bucks,11/07/2020,2,1.1,635,628270,0.32,0.18,101.07,42017,-75.11291241,40.33501133,POINT (-75.11291241 40.33501133)
Centre,03/06/2021,1,0.4,213,162385,0.62,0.26,131.17,42027,-77.82500112,40.9193135,POINT (-77.82500112 40.9193135)
Bucks,09/19/2020,0,0.4,607,628270,0,0.07,96.61,42017,-75.11291241,40.33501133,POINT (-75.11291241 40.33501133)
Northumberland,01/08/2021,2,2.1,267,90843,2.2,2.36,293.91,42097,-76.71188423,40.85150926,POINT (-76.71188423 40.85150926)
Northumberland,01/25/2021,4,1.7,297,90843,4.4,1.89,326.94,42097,-76.71188423,40.85150926,POINT (-76.71188423 40.85150926)
Cameron,01/11/2021,0,0.1,6,4447,0,3.21,134.92,42023,-78.20916932,41.43880265,POINT (-78.20916932 41.43880265)
Beaver,09/06/2020,1,1,109,163929,0.61,0.61,66.49,42007,-80.35107356,40.68349245,POINT (-80.35107356 40.68349245)
Beaver,02/05/2021,1,1.6,335,163929,0.61,0.96,204.36,42007,-80.35107356,40.68349245,POINT (-80.35107356 40.68349245)
Somerset,02/28/2021,0,0.1,185,73447,0,0.19,251.88,42111,-79.03100206,39.97146299,POINT (-79.03100206 39.97146299)
Cumberland,02/15/2021,0,1.4,474,253370,0,0.56,187.08,42041,-77.26866271,40.16759839,POINT (-77.26866271 40.16759839)
Northumberland,02/01/2021,2,2,311,90843,2.2,2.2,342.35,42097,-76.71188423,40.85150926,POINT (-76.71188423 40.85150926)
Pennsylvania,05/27/2020,45,58.7,5942,12801989,0.35,0.46,46.41,42000,-75.167756,39.346129,POINT (-75.167756 39.346129)
Beaver,09/01/2020,0,0.7,103,163929,0,0.44,62.83,42007,-80.35107356,40.68349245,POINT (-80.35107356 40.68349245)
Pennsylvania,11/14/2020,82,59.9,9719,12801989,0.64,0.47,75.92,42000,-75.167756,39.346129,POINT (-75.167756 39.346129)
Beaver,03/26/2021,0,0.4,360,163929,0,0.26,219.61,42007,-80.35107356,40.68349245,POINT (-80.35107356 40.68349245)
Somerset,11/29/2020,0,0.4,19,73447,0,0.58,25.87,42111,-79.03100206,39.97146299,POINT (-79.03100206 39.97146299)
Berks,01/06/2021,7,7.1,657,421164,1.66,1.7,156,42011,-75.93077327,40.41939635,POINT (-75.93077327 40.41939635)
Pennsylvania,11/13/2020,66,55.9,9637,12801989,0.52,0.44,75.28,42000,-75.167756,39.346129,POINT (-75.167756 39.346129)
Beaver,03/08/2021,0,0.3,353,163929,0,0.17,215.34,42007,-80.35107356,40.68349245,POINT (-80.35107356 40.68349245)
Somerset,03/03/2021,0,0.1,185,73447,0,0.19,251.88,42111,-79.03100206,39.97146299,POINT (-79.03100206 39.97146299)
Somerset,12/02/2020,2,1.1,24,73447,2.72,1.56,32.68,42111,-79.03100206,39.97146299,POINT (-79.03100206 39.97146299)
Beaver,12/08/2020,0,2.6,192,163929,0,1.57,117.12,42007,-80.35107356,40.68349245,POINT (-80.35107356 40.68349245)
Crawford,02/19/2021,0,0,135,84629,0,0,159.52,42039,-80.11321083,41.68546907,POINT (-80.11321083 41.68546907)
Pennsylvania,12/18/2020,234,209.7,15016,12801989,1.83,1.64,117.29,42000,-75.167756,39.346129,POINT (-75.167756 39.346129)
Somerset,01/18/2021,0,1.4,159,73447,0,1.95,216.48,42111,-79.03100206,39.97146299,POINT (-79.03100206 39.97146299)
Cambria,12/16/2020,7,8.1,225,130192,5.38,6.25,172.82,42021,-78.71894174,40.49127491,POINT (-78.71894174 40.49127491)
Somerset,12/16/2020,3,3.6,61,73447,4.08,4.86,83.05,42111,-79.03100206,39.97146299,POINT (-79.03100206 39.97146299)
Somerset,02/09/2021,0,0.4,184,73447,0,0.58,250.52,42111,-79.03100206,39.97146299,POINT (-79.03100206 39.97146299)
Beaver,03/01/2021,0,0.9,351,163929,0,0.52,214.12,42007,-80.35107356,40.68349245,POINT (-80.35107356 40.68349245)
Bucks,07/26/2020,0,0.3,584,628270,0,0.05,92.95,42017,-75.11291241,40.33501133,POINT (-75.11291241 40.33501133)
Beaver,08/29/2020,3,0.6,102,163929,1.83,0.35,62.22,42007,-80.35107356,40.68349245,POINT (-80.35107356 40.68349245)
Beaver,04/26/2020,5,2.6,54,163929,3.05,1.57,32.94,42007,-80.35107356,40.68349245,POINT (-80.35107356 40.68349245)
Bucks,08/01/2020,0,0.6,588,628270,0,0.09,93.59,42017,-75.11291241,40.33501133,POINT (-75.11291241 40.33501133)
Cameron,12/05/2020,0,0.1,1,4447,0,3.21,22.49,42023,-78.20916932,41.43880265,POINT (-78.20916932 41.43880265)
Cumberland,06/17/2020,0,0.3,61,253370,0,0.11,24.08,42041,-77.26866271,40.16759839,POINT (-77.26866271 40.16759839)
York,07/11/2020,0,1.4,70,449058,0,0.32,15.59,42133,-76.72576052,39.92192531,POINT (-76.72576052 39.92192531)
Cumberland,09/27/2020,0,0,76,253370,0,0,30,42041,-77.26866271,40.16759839,POINT (-77.26866271 40.16759839)
Northumberland,12/11/2020,4,4.4,187,90843,4.4,4.87,205.85,42097,-76.71188423,40.85150926,POINT (-76.71188423 40.85150926)
Beaver,05/20/2020,1,0.9,76,163929,0.61,0.52,46.36,42007,-80.35107356,40.68349245,POINT (-80.35107356 40.68349245)
Centre,02/15/2021,0,0.9,209,162385,0,0.53,128.71,42027,-77.82500112,40.9193135,POINT (-77.82500112 40.9193135)
Beaver,01/18/2021,6,2,309,163929,3.66,1.22,188.5,42007,-80.35107356,40.68349245,POINT (-80.35107356 40.68349245)
Cumberland,01/13/2021,6,4,390,253370,2.37,1.58,153.93,42041,-77.26866271,40.16759839,POINT (-77.26866271 40.16759839)
Beaver,02/08/2021,0,1.4,338,163929,0,0.87,206.19,42007,-80.35107356,40.68349245,POINT (-80.35107356 40.68349245)
Clearfield,02/13/2021,2,0.4,114,79255,2.52,0.54,143.84,42033,-78.47558343,41.000429,POINT (-78.47558343 41.000429)
Bucks,08/10/2020,0,0.1,592,628270,0,0.02,94.23,42017,-75.11291241,40.33501133,POINT (-75.11291241 40.33501133)
Centre,01/24/2021,3,1.3,192,162385,1.85,0.79,118.24,42027,-77.82500112,40.9193135,POINT (-77.82500112 40.9193135)
